theta0;omega0;theta1;omega1;
-1.61;-0.281;-28.8;-5.79;
-1.61;-0.279;-28.8;-5.8;
-1.61;-0.278;-28.8;-5.81;
-1.61;-0.276;-28.8;-5.82;
-1.61;-0.275;-28.8;-5.83;
-1.61;-0.274;-28.8;-5.84;
-1.61;-0.273;-28.8;-5.84;
-1.61;-0.271;-28.8;-5.85;
-1.61;-0.27;-28.8;-5.86;
-1.61;-0.269;-28.8;-5.87;
-1.61;-0.268;-28.8;-5.88;
-1.61;-0.267;-28.9;-5.89;
-1.61;-0.265;-28.9;-5.9;
-1.61;-0.264;-28.9;-5.91;
-1.61;-0.263;-28.9;-5.92;
-1.62;-0.262;-28.9;-5.93;
-1.62;-0.261;-28.9;-5.94;
-1.62;-0.26;-28.9;-5.95;
-1.62;-0.259;-28.9;-5.96;
-1.62;-0.258;-28.9;-5.97;
-1.62;-0.257;-28.9;-5.98;
-1.62;-0.257;-28.9;-5.99;
-1.62;-0.256;-28.9;-6;
-1.62;-0.255;-28.9;-6.01;
-1.62;-0.254;-28.9;-6.02;
-1.62;-0.253;-28.9;-6.03;
-1.62;-0.252;-28.9;-6.04;
-1.62;-0.252;-28.9;-6.06;
-1.62;-0.251;-29;-6.07;
-1.62;-0.25;-29;-6.08;
-1.62;-0.25;-29;-6.09;
-1.62;-0.249;-29;-6.1;
-1.62;-0.249;-29;-6.11;
-1.62;-0.248;-29;-6.13;
-1.62;-0.247;-29;-6.14;
-1.62;-0.247;-29;-6.15;
-1.62;-0.246;-29;-6.16;
-1.62;-0.246;-29;-6.17;
-1.62;-0.246;-29;-6.19;
-1.62;-0.245;-29;-6.2;
-1.62;-0.245;-29;-6.21;
-1.62;-0.244;-29;-6.22;
-1.62;-0.244;-29;-6.24;
-1.62;-0.244;-29;-6.25;
-1.62;-0.244;-29.1;-6.26;
-1.62;-0.243;-29.1;-6.28;
-1.62;-0.243;-29.1;-6.29;
-1.62;-0.243;-29.1;-6.3;
-1.62;-0.243;-29.1;-6.32;
-1.62;-0.243;-29.1;-6.33;
-1.62;-0.243;-29.1;-6.35;
-1.62;-0.243;-29.1;-6.36;
-1.62;-0.243;-29.1;-6.38;
-1.62;-0.243;-29.1;-6.39;
-1.62;-0.243;-29.1;-6.4;
-1.63;-0.243;-29.1;-6.42;
-1.63;-0.243;-29.1;-6.43;
-1.63;-0.243;-29.1;-6.45;
-1.63;-0.243;-29.1;-6.46;
-1.63;-0.243;-29.1;-6.48;
-1.63;-0.243;-29.2;-6.49;
-1.63;-0.243;-29.2;-6.51;
-1.63;-0.244;-29.2;-6.52;
-1.63;-0.244;-29.2;-6.54;
-1.63;-0.244;-29.2;-6.56;
-1.63;-0.244;-29.2;-6.57;
-1.63;-0.245;-29.2;-6.59;
-1.63;-0.245;-29.2;-6.6;
-1.63;-0.245;-29.2;-6.62;
-1.63;-0.246;-29.2;-6.64;
-1.63;-0.246;-29.2;-6.65;
-1.63;-0.246;-29.2;-6.67;
-1.63;-0.247;-29.2;-6.68;
-1.63;-0.247;-29.2;-6.7;
-1.63;-0.248;-29.2;-6.72;
-1.63;-0.248;-29.3;-6.74;
-1.63;-0.248;-29.3;-6.75;
-1.63;-0.249;-29.3;-6.77;
-1.63;-0.249;-29.3;-6.79;
-1.63;-0.25;-29.3;-6.8;
-1.63;-0.25;-29.3;-6.82;
-1.63;-0.251;-29.3;-6.84;
-1.63;-0.251;-29.3;-6.86;
-1.63;-0.252;-29.3;-6.87;
-1.63;-0.252;-29.3;-6.89;
-1.63;-0.253;-29.3;-6.91;
-1.63;-0.253;-29.3;-6.93;
-1.63;-0.254;-29.3;-6.94;
-1.63;-0.254;-29.3;-6.96;
-1.63;-0.255;-29.3;-6.98;
-1.63;-0.255;-29.4;-7;
-1.63;-0.256;-29.4;-7.02;
-1.63;-0.256;-29.4;-7.03;
-1.63;-0.257;-29.4;-7.05;
-1.63;-0.257;-29.4;-7.07;
-1.63;-0.258;-29.4;-7.09;
-1.64;-0.258;-29.4;-7.11;
-1.64;-0.258;-29.4;-7.13;
-1.64;-0.259;-29.4;-7.14;
-1.64;-0.259;-29.4;-7.16;
-1.64;-0.259;-29.4;-7.18;
-1.64;-0.26;-29.4;-7.2;
-1.64;-0.26;-29.4;-7.22;
-1.64;-0.26;-29.4;-7.24;
-1.64;-0.26;-29.5;-7.25;
-1.64;-0.26;-29.5;-7.27;
-1.64;-0.26;-29.5;-7.29;
-1.64;-0.26;-29.5;-7.31;
-1.64;-0.26;-29.5;-7.33;
-1.64;-0.26;-29.5;-7.35;
-1.64;-0.26;-29.5;-7.36;
-1.64;-0.26;-29.5;-7.38;
-1.64;-0.259;-29.5;-7.4;
-1.64;-0.259;-29.5;-7.42;
-1.64;-0.259;-29.5;-7.43;
-1.64;-0.258;-29.5;-7.45;
-1.64;-0.258;-29.5;-7.47;
-1.64;-0.257;-29.6;-7.49;
-1.64;-0.256;-29.6;-7.5;
-1.64;-0.255;-29.6;-7.52;
-1.64;-0.254;-29.6;-7.54;
-1.64;-0.253;-29.6;-7.56;
-1.64;-0.252;-29.6;-7.57;
-1.64;-0.251;-29.6;-7.59;
-1.64;-0.249;-29.6;-7.61;
-1.64;-0.248;-29.6;-7.62;
-1.64;-0.246;-29.6;-7.64;
-1.64;-0.244;-29.6;-7.65;
-1.64;-0.242;-29.6;-7.67;
-1.64;-0.24;-29.6;-7.68;
-1.64;-0.238;-29.6;-7.7;
-1.64;-0.236;-29.7;-7.71;
-1.64;-0.233;-29.7;-7.73;
-1.64;-0.231;-29.7;-7.74;
-1.64;-0.228;-29.7;-7.76;
-1.65;-0.225;-29.7;-7.77;
-1.65;-0.222;-29.7;-7.78;
-1.65;-0.218;-29.7;-7.8;
-1.65;-0.215;-29.7;-7.81;
-1.65;-0.211;-29.7;-7.82;
-1.65;-0.207;-29.7;-7.83;
-1.65;-0.203;-29.7;-7.84;
-1.65;-0.199;-29.7;-7.85;
-1.65;-0.194;-29.8;-7.87;
-1.65;-0.19;-29.8;-7.88;
-1.65;-0.185;-29.8;-7.89;
-1.65;-0.18;-29.8;-7.89;
-1.65;-0.174;-29.8;-7.9;
-1.65;-0.169;-29.8;-7.91;
-1.65;-0.163;-29.8;-7.92;
-1.65;-0.157;-29.8;-7.93;
-1.65;-0.151;-29.8;-7.94;
-1.65;-0.145;-29.8;-7.94;
-1.65;-0.138;-29.8;-7.95;
-1.65;-0.131;-29.8;-7.95;
-1.65;-0.124;-29.8;-7.96;
-1.65;-0.116;-29.9;-7.96;
-1.65;-0.109;-29.9;-7.97;
-1.65;-0.101;-29.9;-7.97;
-1.65;-0.0926;-29.9;-7.98;
-1.65;-0.0842;-29.9;-7.98;
-1.65;-0.0755;-29.9;-7.98;
-1.65;-0.0666;-29.9;-7.98;
-1.65;-0.0574;-29.9;-7.98;
-1.65;-0.048;-29.9;-7.98;
-1.65;-0.0383;-29.9;-7.99;
-1.65;-0.0283;-29.9;-7.98;
-1.65;-0.0181;-29.9;-7.98;
-1.65;-0.00763;-29.9;-7.98;
-1.65;0.00311;-30;-7.98;
-1.65;0.0141;-30;-7.98;
-1.65;0.0254;-30;-7.97;
-1.65;0.0369;-30;-7.97;
-1.65;0.0486;-30;-7.97;
-1.65;0.0607;-30;-7.96;
-1.65;0.0729;-30;-7.96;
-1.65;0.0855;-30;-7.95;
-1.65;0.0982;-30;-7.95;
-1.65;0.111;-30;-7.94;
-1.65;0.125;-30;-7.93;
-1.65;0.138;-30;-7.92;
-1.65;0.152;-30.1;-7.92;
-1.65;0.166;-30.1;-7.91;
-1.65;0.18;-30.1;-7.9;
-1.65;0.194;-30.1;-7.89;
-1.65;0.209;-30.1;-7.88;
-1.65;0.224;-30.1;-7.87;
-1.65;0.239;-30.1;-7.86;
-1.65;0.254;-30.1;-7.85;
-1.65;0.27;-30.1;-7.84;
-1.65;0.286;-30.1;-7.82;
-1.65;0.302;-30.1;-7.81;
-1.65;0.318;-30.1;-7.8;
-1.65;0.334;-30.1;-7.79;
-1.65;0.35;-30.2;-7.77;
-1.65;0.367;-30.2;-7.76;
-1.64;0.384;-30.2;-7.75;
-1.64;0.401;-30.2;-7.73;
-1.64;0.418;-30.2;-7.72;
-1.64;0.436;-30.2;-7.7;
-1.64;0.453;-30.2;-7.69;
-1.64;0.471;-30.2;-7.67;
-1.64;0.488;-30.2;-7.66;
-1.64;0.506;-30.2;-7.64;
-1.64;0.525;-30.2;-7.62;
-1.64;0.543;-30.2;-7.61;
-1.64;0.561;-30.2;-7.59;
-1.64;0.579;-30.3;-7.57;
-1.64;0.598;-30.3;-7.56;
-1.64;0.617;-30.3;-7.54;
-1.64;0.636;-30.3;-7.52;
-1.64;0.654;-30.3;-7.51;
-1.64;0.673;-30.3;-7.49;
-1.64;0.692;-30.3;-7.47;
-1.63;0.712;-30.3;-7.45;
-1.63;0.731;-30.3;-7.44;
-1.63;0.75;-30.3;-7.42;
-1.63;0.769;-30.3;-7.4;
-1.63;0.789;-30.3;-7.38;
-1.63;0.808;-30.3;-7.37;
-1.63;0.828;-30.4;-7.35;
-1.63;0.848;-30.4;-7.33;
-1.63;0.867;-30.4;-7.31;
-1.63;0.887;-30.4;-7.3;
-1.63;0.907;-30.4;-7.28;
-1.63;0.927;-30.4;-7.26;
-1.62;0.946;-30.4;-7.24;
-1.62;0.966;-30.4;-7.23;
-1.62;0.986;-30.4;-7.21;
-1.62;1.01;-30.4;-7.19;
-1.62;1.03;-30.4;-7.18;
-1.62;1.05;-30.4;-7.16;
-1.62;1.07;-30.4;-7.14;
-1.62;1.09;-30.4;-7.13;
-1.62;1.11;-30.5;-7.11;
-1.62;1.13;-30.5;-7.09;
-1.61;1.15;-30.5;-7.08;
-1.61;1.17;-30.5;-7.06;
-1.61;1.19;-30.5;-7.04;
-1.61;1.21;-30.5;-7.03;
-1.61;1.23;-30.5;-7.01;
-1.61;1.25;-30.5;-7;
-1.61;1.27;-30.5;-6.98;
-1.61;1.29;-30.5;-6.97;
-1.6;1.31;-30.5;-6.95;
-1.6;1.33;-30.5;-6.94;
-1.6;1.35;-30.5;-6.92;
-1.6;1.37;-30.5;-6.91;
-1.6;1.39;-30.6;-6.9;
-1.6;1.41;-30.6;-6.88;
-1.6;1.43;-30.6;-6.87;
-1.6;1.45;-30.6;-6.86;
-1.59;1.47;-30.6;-6.84;
-1.59;1.49;-30.6;-6.83;
-1.59;1.51;-30.6;-6.82;
-1.59;1.53;-30.6;-6.81;
-1.59;1.54;-30.6;-6.79;
-1.59;1.56;-30.6;-6.78;
-1.58;1.58;-30.6;-6.77;
-1.58;1.6;-30.6;-6.76;
-1.58;1.62;-30.6;-6.75;
-1.58;1.64;-30.6;-6.74;
-1.58;1.66;-30.6;-6.73;
-1.58;1.68;-30.7;-6.72;
-1.57;1.7;-30.7;-6.71;
-1.57;1.72;-30.7;-6.7;
-1.57;1.74;-30.7;-6.69;
-1.57;1.76;-30.7;-6.68;
-1.57;1.78;-30.7;-6.68;
-1.57;1.8;-30.7;-6.67;
-1.56;1.82;-30.7;-6.66;
-1.56;1.84;-30.7;-6.65;
-1.56;1.86;-30.7;-6.65;
-1.56;1.88;-30.7;-6.64;
-1.56;1.9;-30.7;-6.63;
-1.55;1.92;-30.7;-6.63;
-1.55;1.94;-30.7;-6.62;
-1.55;1.95;-30.7;-6.62;
-1.55;1.97;-30.8;-6.61;
-1.55;1.99;-30.8;-6.61;
-1.54;2.01;-30.8;-6.6;
-1.54;2.03;-30.8;-6.6;
-1.54;2.05;-30.8;-6.6;
-1.54;2.07;-30.8;-6.59;
-1.54;2.09;-30.8;-6.59;
-1.53;2.11;-30.8;-6.59;
-1.53;2.13;-30.8;-6.58;
-1.53;2.15;-30.8;-6.58;
-1.53;2.17;-30.8;-6.58;
-1.53;2.19;-30.8;-6.58;
-1.52;2.2;-30.8;-6.58;
-1.52;2.22;-30.8;-6.58;
-1.52;2.24;-30.8;-6.58;
-1.52;2.26;-30.9;-6.58;
-1.51;2.28;-30.9;-6.58;
-1.51;2.3;-30.9;-6.58;
-1.51;2.32;-30.9;-6.58;
-1.51;2.34;-30.9;-6.59;
-1.51;2.36;-30.9;-6.59;
-1.5;2.38;-30.9;-6.59;
-1.5;2.4;-30.9;-6.59;
-1.5;2.42;-30.9;-6.6;
-1.5;2.43;-30.9;-6.6;
-1.49;2.45;-30.9;-6.61;
-1.49;2.47;-30.9;-6.61;
-1.49;2.49;-30.9;-6.62;
-1.49;2.51;-30.9;-6.62;
-1.48;2.53;-30.9;-6.63;
-1.48;2.55;-31;-6.63;
-1.48;2.57;-31;-6.64;
-1.48;2.59;-31;-6.65;
-1.47;2.61;-31;-6.66;
-1.47;2.63;-31;-6.67;
-1.47;2.65;-31;-6.67;
-1.47;2.67;-31;-6.68;
-1.46;2.69;-31;-6.69;
-1.46;2.71;-31;-6.7;
-1.46;2.73;-31;-6.71;
-1.45;2.75;-31;-6.72;
-1.45;2.77;-31;-6.73;
-1.45;2.79;-31;-6.75;
-1.45;2.81;-31;-6.76;
-1.44;2.83;-31;-6.77;
-1.44;2.85;-31.1;-6.78;
-1.44;2.87;-31.1;-6.8;
-1.43;2.89;-31.1;-6.81;
-1.43;2.91;-31.1;-6.83;
-1.43;2.93;-31.1;-6.84;
-1.43;2.95;-31.1;-6.86;
-1.42;2.97;-31.1;-6.87;
-1.42;2.99;-31.1;-6.89;
-1.42;3.01;-31.1;-6.91;
-1.41;3.03;-31.1;-6.92;
-1.41;3.05;-31.1;-6.94;
-1.41;3.07;-31.1;-6.96;
-1.4;3.09;-31.1;-6.98;
-1.4;3.12;-31.1;-7;
-1.4;3.14;-31.1;-7.02;
-1.4;3.16;-31.2;-7.04;
-1.39;3.18;-31.2;-7.06;
-1.39;3.2;-31.2;-7.09;
-1.39;3.22;-31.2;-7.11;
-1.38;3.25;-31.2;-7.13;
-1.38;3.27;-31.2;-7.16;
-1.38;3.29;-31.2;-7.18;
-1.37;3.31;-31.2;-7.21;
-1.37;3.33;-31.2;-7.23;
-1.37;3.36;-31.2;-7.26;
-1.36;3.38;-31.2;-7.28;
-1.36;3.4;-31.2;-7.31;
-1.36;3.43;-31.2;-7.34;
-1.35;3.45;-31.2;-7.37;
-1.35;3.47;-31.3;-7.4;
-1.35;3.5;-31.3;-7.43;
-1.34;3.52;-31.3;-7.46;
-1.34;3.55;-31.3;-7.49;
-1.34;3.57;-31.3;-7.53;
-1.33;3.59;-31.3;-7.56;
-1.33;3.62;-31.3;-7.59;
-1.32;3.64;-31.3;-7.63;
-1.32;3.67;-31.3;-7.66;
-1.32;3.7;-31.3;-7.7;
-1.31;3.72;-31.3;-7.74;
-1.31;3.75;-31.3;-7.78;
-1.31;3.77;-31.3;-7.82;
-1.3;3.8;-31.4;-7.86;
-1.3;3.83;-31.4;-7.9;
-1.29;3.85;-31.4;-7.94;
-1.29;3.88;-31.4;-7.98;
-1.29;3.91;-31.4;-8.02;
-1.28;3.94;-31.4;-8.07;
-1.28;3.96;-31.4;-8.11;
-1.27;3.99;-31.4;-8.16;
-1.27;4.02;-31.4;-8.21;
-1.27;4.05;-31.4;-8.26;
-1.26;4.08;-31.4;-8.31;
-1.26;4.11;-31.4;-8.36;
-1.25;4.14;-31.5;-8.41;
-1.25;4.17;-31.5;-8.46;
-1.25;4.2;-31.5;-8.52;
-1.24;4.23;-31.5;-8.57;
-1.24;4.27;-31.5;-8.63;
-1.23;4.3;-31.5;-8.69;
-1.23;4.33;-31.5;-8.75;
-1.22;4.36;-31.5;-8.81;
-1.22;4.4;-31.5;-8.87;
-1.22;4.43;-31.5;-8.93;
-1.21;4.47;-31.5;-9;
-1.21;4.5;-31.5;-9.06;
-1.2;4.54;-31.6;-9.13;
-1.2;4.57;-31.6;-9.2;
-1.19;4.61;-31.6;-9.27;
-1.19;4.65;-31.6;-9.34;
-1.18;4.68;-31.6;-9.41;
-1.18;4.72;-31.6;-9.49;
-1.17;4.76;-31.6;-9.56;
-1.17;4.8;-31.6;-9.64;
-1.16;4.84;-31.6;-9.72;
-1.16;4.88;-31.6;-9.8;
-1.16;4.92;-31.7;-9.89;
-1.15;4.96;-31.7;-9.97;
-1.15;5;-31.7;-10.1;
-1.14;5.04;-31.7;-10.1;
-1.14;5.09;-31.7;-10.2;
-1.13;5.13;-31.7;-10.3;
-1.12;5.18;-31.7;-10.4;
-1.12;5.22;-31.7;-10.5;
-1.11;5.27;-31.7;-10.6;
-1.11;5.31;-31.7;-10.7;
-1.1;5.36;-31.8;-10.8;
-1.1;5.41;-31.8;-10.9;
-1.09;5.46;-31.8;-11;
-1.09;5.51;-31.8;-11.1;
-1.08;5.55;-31.8;-11.2;
-1.08;5.6;-31.8;-11.3;
-1.07;5.66;-31.8;-11.5;
-1.07;5.71;-31.8;-11.6;
-1.06;5.76;-31.8;-11.7;
-1.05;5.81;-31.9;-11.8;
-1.05;5.86;-31.9;-11.9;
-1.04;5.91;-31.9;-12;
-1.04;5.97;-31.9;-12.1;
-1.03;6.02;-31.9;-12.3;
-1.02;6.07;-31.9;-12.4;
-1.02;6.13;-31.9;-12.5;
-1.01;6.18;-31.9;-12.6;
-1.01;6.24;-32;-12.7;
-0.999;6.29;-32;-12.9;
-0.993;6.34;-32;-13;
-0.986;6.39;-32;-13.1;
-0.98;6.45;-32;-13.2;
-0.974;6.5;-32;-13.3;
-0.967;6.55;-32;-13.4;
-0.96;6.6;-32;-13.6;
-0.954;6.64;-32.1;-13.7;
-0.947;6.69;-32.1;-13.8;
-0.94;6.74;-32.1;-13.9;
-0.934;6.78;-32.1;-14;
-0.927;6.82;-32.1;-14;
-0.92;6.86;-32.1;-14.1;
-0.913;6.89;-32.1;-14.2;
-0.906;6.93;-32.2;-14.3;
-0.899;6.96;-32.2;-14.3;
-0.892;6.99;-32.2;-14.4;
-0.885;7.01;-32.2;-14.4;
-0.878;7.03;-32.2;-14.5;
-0.871;7.05;-32.2;-14.5;
-0.864;7.07;-32.2;-14.5;
-0.857;7.08;-32.3;-14.5;
-0.85;7.09;-32.3;-14.5;
-0.843;7.09;-32.3;-14.5;
-0.836;7.09;-32.3;-14.5;
-0.829;7.09;-32.3;-14.5;
-0.822;7.08;-32.3;-14.4;
-0.815;7.07;-32.3;-14.4;
-0.808;7.06;-32.4;-14.4;
-0.801;7.04;-32.4;-14.3;
-0.793;7.02;-32.4;-14.2;
-0.786;7;-32.4;-14.1;
-0.779;6.98;-32.4;-14.1;
-0.773;6.95;-32.4;-14;
-0.766;6.92;-32.4;-13.9;
-0.759;6.89;-32.5;-13.8;
-0.752;6.86;-32.5;-13.7;
-0.745;6.83;-32.5;-13.6;
-0.738;6.79;-32.5;-13.4;
-0.731;6.75;-32.5;-13.3;
-0.725;6.72;-32.5;-13.2;
-0.718;6.68;-32.5;-13.1;
-0.711;6.64;-32.6;-12.9;
-0.705;6.6;-32.6;-12.8;
-0.698;6.56;-32.6;-12.7;
-0.692;6.52;-32.6;-12.6;
-0.685;6.48;-32.6;-12.4;
-0.679;6.43;-32.6;-12.3;
-0.672;6.39;-32.6;-12.2;
-0.666;6.35;-32.6;-12;
-0.659;6.31;-32.7;-11.9;
-0.653;6.27;-32.7;-11.8;
-0.647;6.23;-32.7;-11.6;
-0.641;6.19;-32.7;-11.5;
-0.635;6.15;-32.7;-11.4;
-0.628;6.11;-32.7;-11.3;
-0.622;6.08;-32.7;-11.1;
-0.616;6.04;-32.7;-11;
-0.61;6;-32.7;-10.9;
-0.604;5.96;-32.8;-10.8;
-0.598;5.93;-32.8;-10.7;
-0.592;5.89;-32.8;-10.5;
-0.587;5.86;-32.8;-10.4;
-0.581;5.82;-32.8;-10.3;
-0.575;5.79;-32.8;-10.2;
-0.569;5.76;-32.8;-10.1;
-0.563;5.73;-32.8;-9.97;
-0.558;5.69;-32.8;-9.86;
-0.552;5.66;-32.8;-9.75;
-0.546;5.63;-32.9;-9.64;
-0.541;5.6;-32.9;-9.54;
-0.535;5.58;-32.9;-9.43;
-0.53;5.55;-32.9;-9.33;
-0.524;5.52;-32.9;-9.23;
-0.519;5.49;-32.9;-9.13;
-0.513;5.47;-32.9;-9.03;
-0.508;5.44;-32.9;-8.93;
-0.502;5.42;-32.9;-8.84;
-0.497;5.39;-32.9;-8.74;
-0.491;5.37;-32.9;-8.65;
-0.486;5.35;-33;-8.56;
-0.481;5.33;-33;-8.47;
-0.475;5.3;-33;-8.38;
-0.47;5.28;-33;-8.29;
-0.465;5.26;-33;-8.2;
-0.46;5.24;-33;-8.11;
-0.454;5.22;-33;-8.03;
-0.449;5.2;-33;-7.94;
-0.444;5.18;-33;-7.86;
-0.439;5.17;-33;-7.77;
-0.434;5.15;-33;-7.69;
-0.428;5.13;-33;-7.61;
-0.423;5.12;-33.1;-7.53;
-0.418;5.1;-33.1;-7.45;
-0.413;5.08;-33.1;-7.37;
-0.408;5.07;-33.1;-7.29;
-0.403;5.05;-33.1;-7.22;
-0.398;5.04;-33.1;-7.14;
-0.393;5.03;-33.1;-7.06;
-0.388;5.01;-33.1;-6.99;
-0.383;5;-33.1;-6.91;
-0.378;4.99;-33.1;-6.84;
-0.373;4.98;-33.1;-6.77;
-0.368;4.96;-33.1;-6.69;
-0.363;4.95;-33.1;-6.62;
-0.358;4.94;-33.1;-6.55;
-0.353;4.93;-33.2;-6.48;
-0.348;4.92;-33.2;-6.41;
-0.343;4.91;-33.2;-6.34;
-0.338;4.9;-33.2;-6.27;
-0.333;4.89;-33.2;-6.2;
-0.329;4.89;-33.2;-6.13;
-0.324;4.88;-33.2;-6.06;
-0.319;4.87;-33.2;-5.99;
-0.314;4.86;-33.2;-5.93;
-0.309;4.85;-33.2;-5.86;
-0.304;4.85;-33.2;-5.79;
-0.299;4.84;-33.2;-5.72;
-0.295;4.83;-33.2;-5.66;
-0.29;4.83;-33.2;-5.59;
-0.285;4.82;-33.2;-5.52;
-0.28;4.82;-33.2;-5.46;
-0.275;4.81;-33.2;-5.39;
-0.27;4.81;-33.3;-5.33;
-0.266;4.8;-33.3;-5.26;
-0.261;4.8;-33.3;-5.2;
-0.256;4.8;-33.3;-5.13;
-0.251;4.79;-33.3;-5.07;
-0.246;4.79;-33.3;-5;
-0.242;4.79;-33.3;-4.94;
-0.237;4.78;-33.3;-4.88;
-0.232;4.78;-33.3;-4.81;
-0.227;4.78;-33.3;-4.75;
-0.222;4.78;-33.3;-4.68;
-0.218;4.77;-33.3;-4.62;
-0.213;4.77;-33.3;-4.56;
-0.208;4.77;-33.3;-4.49;
-0.203;4.77;-33.3;-4.43;
-0.199;4.77;-33.3;-4.37;
-0.194;4.77;-33.3;-4.3;
-0.189;4.77;-33.3;-4.24;
-0.184;4.77;-33.3;-4.18;
-0.18;4.77;-33.3;-4.11;
-0.175;4.77;-33.3;-4.05;
-0.17;4.77;-33.3;-3.99;
-0.165;4.77;-33.4;-3.92;
-0.16;4.77;-33.4;-3.86;
-0.156;4.77;-33.4;-3.8;
-0.151;4.78;-33.4;-3.73;
-0.146;4.78;-33.4;-3.67;
-0.141;4.78;-33.4;-3.61;
-0.137;4.78;-33.4;-3.54;
-0.132;4.78;-33.4;-3.48;
-0.127;4.79;-33.4;-3.41;
-0.122;4.79;-33.4;-3.35;
-0.117;4.79;-33.4;-3.29;
-0.113;4.8;-33.4;-3.22;
-0.108;4.8;-33.4;-3.16;
-0.103;4.8;-33.4;-3.1;
-0.0982;4.81;-33.4;-3.03;
-0.0934;4.81;-33.4;-2.97;
-0.0886;4.81;-33.4;-2.9;
-0.0838;4.82;-33.4;-2.84;
-0.079;4.82;-33.4;-2.77;
-0.0742;4.83;-33.4;-2.71;
-0.0693;4.83;-33.4;-2.64;
-0.0645;4.84;-33.4;-2.58;
-0.0597;4.84;-33.4;-2.51;
-0.0548;4.85;-33.4;-2.45;
-0.05;4.85;-33.4;-2.38;
-0.0451;4.86;-33.4;-2.32;
-0.0402;4.86;-33.4;-2.25;
-0.0354;4.87;-33.4;-2.19;
-0.0305;4.88;-33.4;-2.12;
-0.0256;4.88;-33.4;-2.05;
-0.0207;4.89;-33.4;-1.99;
-0.0159;4.89;-33.4;-1.92;
-0.011;4.9;-33.4;-1.86;
-0.00605;4.91;-33.4;-1.79;
-0.00114;4.91;-33.4;-1.72;
0.00377;4.92;-33.5;-1.66;
0.0087;4.93;-33.5;-1.59;
0.0136;4.93;-33.5;-1.52;
0.0186;4.94;-33.5;-1.45;
0.0235;4.95;-33.5;-1.39;
0.0285;4.96;-33.5;-1.32;
0.0334;4.96;-33.5;-1.25;
0.0384;4.97;-33.5;-1.18;
0.0434;4.98;-33.5;-1.11;
0.0484;4.99;-33.5;-1.05;
0.0533;5;-33.5;-0.978;
0.0583;5;-33.5;-0.909;
0.0633;5.01;-33.5;-0.841;
0.0684;5.02;-33.5;-0.772;
0.0734;5.03;-33.5;-0.703;
0.0784;5.04;-33.5;-0.634;
0.0835;5.04;-33.5;-0.564;
0.0885;5.05;-33.5;-0.495;
0.0936;5.06;-33.5;-0.425;
0.0986;5.07;-33.5;-0.356;
0.104;5.08;-33.5;-0.286;
0.109;5.09;-33.5;-0.216;
0.114;5.1;-33.5;-0.146;
0.119;5.1;-33.5;-0.0757;
0.124;5.11;-33.5;-0.00539;
0.129;5.12;-33.5;0.065;
0.134;5.13;-33.5;0.136;
0.139;5.14;-33.5;0.206;
0.145;5.15;-33.5;0.277;
0.15;5.16;-33.5;0.348;
0.155;5.17;-33.5;0.419;
0.16;5.18;-33.5;0.49;
0.165;5.19;-33.5;0.561;
0.17;5.19;-33.5;0.632;
0.176;5.2;-33.5;0.704;
0.181;5.21;-33.5;0.775;
0.186;5.22;-33.5;0.847;
0.191;5.23;-33.5;0.918;
0.197;5.24;-33.5;0.99;
0.202;5.25;-33.5;1.06;
0.207;5.26;-33.5;1.13;
0.212;5.27;-33.5;1.2;
0.218;5.28;-33.5;1.28;
0.223;5.28;-33.5;1.35;
0.228;5.29;-33.5;1.42;
0.233;5.3;-33.5;1.49;
0.239;5.31;-33.5;1.56;
0.244;5.32;-33.5;1.64;
0.249;5.33;-33.5;1.71;
0.255;5.34;-33.4;1.78;
0.26;5.35;-33.4;1.85;
0.265;5.36;-33.4;1.92;
0.271;5.36;-33.4;2;
0.276;5.37;-33.4;2.07;
0.282;5.38;-33.4;2.14;
0.287;5.39;-33.4;2.21;
0.292;5.4;-33.4;2.28;
0.298;5.41;-33.4;2.36;
0.303;5.41;-33.4;2.43;
0.309;5.42;-33.4;2.5;
0.314;5.43;-33.4;2.57;
0.319;5.44;-33.4;2.64;
0.325;5.45;-33.4;2.72;
0.33;5.45;-33.4;2.79;
0.336;5.46;-33.4;2.86;
0.341;5.47;-33.4;2.93;
0.347;5.48;-33.4;3;
0.352;5.48;-33.4;3.07;
0.358;5.49;-33.4;3.14;
0.363;5.5;-33.4;3.22;
0.369;5.51;-33.4;3.29;
0.374;5.51;-33.4;3.36;
0.38;5.52;-33.4;3.43;
0.385;5.53;-33.4;3.5;
0.391;5.53;-33.4;3.57;
0.396;5.54;-33.4;3.64;
0.402;5.55;-33.4;3.71;
0.407;5.55;-33.4;3.78;
0.413;5.56;-33.4;3.85;
0.418;5.56;-33.4;3.92;
0.424;5.57;-33.4;3.99;
0.43;5.58;-33.4;4.06;
0.435;5.58;-33.4;4.13;
0.441;5.59;-33.3;4.2;
0.446;5.59;-33.3;4.27;
0.452;5.6;-33.3;4.34;
0.458;5.6;-33.3;4.41;
0.463;5.61;-33.3;4.47;
0.469;5.61;-33.3;4.54;
0.474;5.61;-33.3;4.61;
0.48;5.62;-33.3;4.68;
0.486;5.62;-33.3;4.75;
0.491;5.63;-33.3;4.81;
0.497;5.63;-33.3;4.88;
0.503;5.63;-33.3;4.95;
0.508;5.64;-33.3;5.02;
0.514;5.64;-33.3;5.08;
